IREF_DC,PSRR(Mag),MP,Ganancia(Mag),FGU,DR,CMRR(Mag),SR
5e-05,44411.96614,61.7,50933.08711,7807000,1.313,446683.5922,1.021
1e-05,31988.9511,73.97,30269.13428,3453000,1.444,977237.221,1.853
1e-05,4830.58802,72.6,12050.3594,2462000,1.413,776247.1166,1.915
1e-05,26121.61354,75.93,13931.56803,3250000,1.363,2660725.06,1.784
1e-05,991.9733392,74.34,2360.478233,3362000,1.336,338844.1561,1.733
2.2e-05,295120.9227,70.74,11953.63526,6429000,1.297,1678804.018,3.58
2.2e-05,11508.00389,67.84,30060.76303,3450000,1.429,354813.3892,1.597
1e-05,409.2606597,86.2,1419.057522,1312000,1.072,69023.98038,1.761
2.2e-05,5223.96189,65.81,34514.37393,4571000,1.454,346736.8505,1.452
1e-05,2267.253077,69.62,25205.7718,2193000,1.442,1778279.41,1.856
1e-05,36307.80548,73.87,33381.05052,3454000,1.446,1303166.778,1.861
2.2e-05,3539.973411,66.22,36099.40136,3560000,1.41,188364.9089,1.496
2.2e-05,9896.918639,66.84,14825.18085,5251000,1.414,691830.9709,3.855
2.2e-05,18988.90842,71.37,12647.36347,4301000,1.365,1083926.914,3.887
2.2e-05,35196.54225,65.32,46184.89919,5648000,1.373,812830.5162,1.43
5e-05,89639.61859,68.22,17762.33268,6590000,1.341,1273503.081,7.439
1e-05,27574.01452,75.16,17338.03998,3399000,1.38,860993.7522,1.74
1e-05,20488.0205,71.94,28086.65373,2424000,1.457,676082.9754,1.953
1e-05,903.6494737,74.22,2246.466776,3422000,1.322,309029.5433,1.818
2.2e-05,171790.8387,66.78,35277.67866,3400000,1.431,301995.172,1.481
1e-05,1082.679715,74.99,3307.501121,2503000,1.39,32247.79319,1.828
1e-05,27542.28703,75.17,17338.03998,3400000,1.38,776247.1166,1.767
2.2e-05,363078.0548,64.67,40784.95618,4675000,1.44,901571.1376,1.43
1e-05,38459.1782,67.81,33535.13045,2714000,1.495,506990.7083,1.718
1e-05,63023.1346,69.19,31768.74071,3000000,1.48,758577.575,1.732
1e-05,902.6097075,74.21,2243.881924,3422000,1.321,295120.9227,1.784
1e-05,20989.39884,83.2,23713.73706,1305000,1.322,645654.229,1.845
1e-05,5438.761317,56.88,37110.77295,1914000,1.209,231739.465,0.1214
2.2e-05,10127.44749,66.42,26699.30767,5453000,1.437,555904.2573,3.51
2.2e-05,3754.049545,71.44,10268.33432,6157000,1.314,4466835.922,3.741
1e-05,45498.80602,70.49,20090.92813,2925000,1.447,346736.8505,1.798
2.2e-05,2094.112456,66.49,7387.54263,5642000,1.398,156675107.0,4.17
2.2e-05,638263.4862,66.06,34276.77865,4761000,1.453,421696.5034,1.499
5e-05,197242.2736,65.22,22105.48256,6682000,1.17,421696.5034,1.635
2.2e-05,1590.376684,68.74,6237.348355,4054000,1.387,371535.2291,3.932
1e-05,816.5823714,75.22,4390.358656,3294000,1.341,562341.3252,1.827
1e-05,23014.41817,62.17,45656.22502,2833000,1.446,467735.1413,0.332
1e-05,36099.40136,85.89,2437.810818,1309000,1.081,495450.1908,1.749
1e-05,5420.008904,84.11,5242.03601,1304000,1.263,331131.1215,1.836
2.2e-05,8375.292821,64.57,26211.99039,4433000,1.484,1083926.914,1.349
1e-05,14554.59081,72.13,26977.39432,2472000,1.462,683911.6473,1.981
1e-05,9364.832199,85.46,1401.199585,1323000,1.225,530884.4442,1.876
1e-05,16576.77337,71.58,19208.78962,3308000,1.456,5128613.84,1.943
2.2e-05,14537.84386,69.74,12473.83514,4124000,1.364,954992.586,3.887
2.2e-05,188364.9089,69.51,37196.32212,4385000,1.359,732824.5331,1.521
2.2e-05,7236.024023,64.57,24688.80105,4705000,1.454,1216186.001,1.522
1e-05,55975.76015,81.58,4875.284901,2671000,1.142,2722701.308,1.765
2.2e-05,26181.83008,69.83,18749.94508,4131000,1.367,473151.259,3.742
5e-05,151356.1248,65.88,43003.12336,7688000,1.293,524807.4602,1.348
1e-05,9109.614523,79.31,12882.49552,1283000,1.342,323593.6569,1.82
5e-05,37497.30022,61.91,42756.28862,7795000,1.313,506990.7083,1.083
1e-05,2713.313652,66.26,50757.4739,2840000,1.439,239883.2919,0.4199
1e-05,13258.67118,66.39,54827.69649,2894000,1.44,512861.384,0.4201
1e-05,6668.067692,62.36,45289.75799,2279000,1.204,278612.1169,0.1284
1e-05,2757.401452,67.38,34355.79479,2579000,1.478,1548816.619,1.679
5e-05,22361.45199,64.14,12473.83514,9552000,1.378,660693.448,7.598
1e-05,21677.04105,76.35,15721.71792,2542000,1.327,582103.2178,1.751
5e-05,4549.880602,66.91,40973.21098,5008000,1.284,91306.14353,1.271
1e-05,12246.16199,73.67,15240.52754,3183000,1.374,988553.0947,1.796
5e-05,14157.9378,68.73,8521.185114,7130000,1.289,208929.6131,7.782
1e-05,18879.91349,61.1,55718.57489,2628000,1.442,616595.0019,0.3398
2.2e-05,3917.418771,73.09,3250.872974,4458000,1.253,582103.2178,3.775
5e-05,6419.482215,66.87,43151.90768,7419000,1.308,173780.0829,1.327
5e-05,10292.00527,57.45,43102.2558,8253000,1.22,64714.26157,1.126
5e-05,2363.197399,66.43,35318.31698,5150000,1.289,34316.26398,1.245
1e-05,384.1492592,83.89,1298.673564,1327000,1.178,21777.09772,1.771
1e-05,453.9416167,74.51,1621.810097,3264000,1.301,141253.7545,1.84
2.2e-05,2296.148648,65.82,8433.347578,5171000,1.433,13645831.37,3.996
1e-05,1479.108388,69.25,35974.93352,2196000,1.451,484172.3676,1.775
1e-05,45341.92978,74.94,32583.6701,3321000,1.434,1584893.192,1.953
2.2e-05,31117.16337,62.35,26363.31386,5866000,1.398,1621810.097,1.4
2.2e-05,9225.714272,68.14,29546.08888,3456000,1.428,272270.1308,1.603
1e-05,37325.01578,81.64,12764.38809,1310000,1.306,1778279.41,1.859
1e-05,417.3495985,78.9,1929.745336,3521000,1.23,226464.4308,1.728
1e-05,41543.20512,72.33,26121.61354,2382000,1.415,562341.3252,1.81
5e-05,8729.713684,67.75,9046.904377,6549000,1.348,141253.7545,7.593
1e-05,6561.452663,76.22,7915.894546,3294000,1.324,3890451.45,1.773
2.2e-05,9462.371614,69.24,20300.1852,4102000,1.391,732824.5331,4.041
5e-05,17988.70915,66.84,23768.40287,6679000,1.29,501187.2336,1.35
2.2e-05,70469.3069,67.62,27133.13652,5536000,1.43,1202264.435,4.046
1e-05,11259.00469,73.67,15205.4753,3172000,1.372,19724227.36,1.774
1e-05,23741.05423,76.83,11871.34701,2525000,1.279,512861.384,1.697
5e-05,24802.75938,55.7,43451.02242,9137000,1.22,446683.5922,1.34
1e-05,1082.679715,77.54,35075.1874,1287000,1.362,90469.04377,0.4467
1e-05,1091.440336,72.63,35809.64371,1180000,1.364,85605.17117,0.3989
1e-05,21702.01204,60.74,42657.95188,2832000,1.412,393550.0755,0.319
1e-05,623.7348355,78.14,16180.80038,1266000,1.349,131825.6739,1.875
1e-05,34119.29116,72.62,41591.06105,3362000,1.45,1174897.555,1.809
5e-05,42364.2966,68.25,31732.18664,5179000,1.251,1083926.914,1.562
1e-05,2564.484037,78.79,19543.39456,1255000,1.364,160324.5391,1.751
1e-05,40691.15338,79.31,2123.244462,3307000,1.169,16405897.73,1.715
1e-05,22855.98803,72.05,26668.58665,3118000,1.447,870963.59,1.848
1e-05,1035.142167,84.72,749.0313585,1291000,1.131,34474.66066,1.79
2.2e-05,18620.87137,69.71,19792.47021,4352000,1.344,2426610.095,1.593
1e-05,20820.92405,69.96,30690.21988,2882000,1.455,699841.996,1.772
1e-05,6839.116473,78.75,8212.965528,2668000,1.255,1548816.619,1.757
2.2e-05,568852.9308,66.62,35563.13186,4267000,1.471,495450.1908,1.481
1e-05,6302.31346,68.74,41927.59967,2860000,1.499,749894.2093,1.791
1e-05,2937.649652,61.97,56428.69413,2640000,1.454,555904.2573,0.3276
1e-05,11721.95366,76.44,18134.26676,1241000,1.4,231739.465,1.776
5e-05,14092.88798,66.01,43052.66105,7693000,1.299,254097.2706,1.354
2.2e-05,223872.1139,66.8,30164.76873,5851000,1.443,588843.6554,3.781
1e-05,9885.530947,51.64,50757.4739,2118000,1.216,436515.8322,0.1092
1e-05,17021.58508,75.49,8165.823714,3384000,1.316,2018366.364,1.669
1e-05,10315.73079,76.72,16614.98678,1243000,1.38,933254.3008,1.871
1e-05,175792.3614,69.2,38592.24116,2931000,1.5,623734.8355,1.85
1e-05,28151.40015,59.96,49945.91802,1827000,1.213,354813.3892,0.1514
1e-05,35277.67866,67.71,39536.66201,2720000,1.514,881048.873,1.849
1e-05,14859.35642,73.65,13963.68361,3117000,1.377,3273406.949,1.761
1e-05,349.1403155,77.45,1258.925412,2632000,1.268,179887.0915,1.832
2.2e-05,31915.37855,62.61,42608.86836,5715000,1.374,691830.9709,1.324
1e-05,32396.64224,73.71,18836.49089,3128000,1.374,1109174.815,1.732
2.2e-05,298538.2619,66.62,28973.43588,5847000,1.445,1273503.081,3.817
1e-05,997.7000638,82.31,4106.766399,1319000,1.269,257039.5783,1.864
1e-05,5364.138714,71.78,31260.79367,2349000,1.443,231739.465,1.701
1e-05,17021.58508,67.05,31952.14365,2860000,1.528,1109174.815,1.858
1e-05,121618.6001,76.11,18471.40795,3252000,1.363,881048.873,1.725
2.2e-05,30269.13428,69.38,20183.66364,4109000,1.387,912010.8394,4.1
1e-05,17782.7941,61.29,50933.08711,2627000,1.439,489778.8194,0.3266
1e-05,36685.96944,66.47,44565.62484,2900000,1.432,451855.9444,0.374
1e-05,987.4156357,74.48,3108.135903,3431000,1.295,319889.511,1.771
1e-05,2065.380156,67.18,38770.37485,2274000,1.4,61659.50019,0.4212
5e-05,4461.696246,64.24,39219.31463,7505000,1.337,149623.5656,1.156
1e-05,462381.0214,78.7,15940.42881,2618000,1.319,371535.2291,1.753
1e-05,2927.520871,67.2,50292.12659,2012000,1.41,124451.4612,0.4485
1e-05,22803.42072,62.17,45656.22502,2831000,1.445,467735.1413,0.323
2.2e-05,14305.39981,69.65,12927.06701,4051000,1.369,1445439.771,3.708
1e-05,20464.44637,71.92,28086.65373,2424000,1.457,660693.448,1.933
2.2e-05,3531.831698,67.36,30443.8799,3498000,1.411,342767.7865,1.601
1e-05,1003.459849,74.54,3685.530419,3441000,1.293,457088.1896,1.712
1e-05,2170.201204,79.43,1547.034504,2604000,1.18,338844.1561,1.786
2.2e-05,2995.711592,66.4,35974.93352,3440000,1.403,237137.3706,1.475
2.2e-05,28740.87594,70.02,12161.86001,5757000,1.316,1659586.907,3.711
1e-05,8560.517117,79.28,13335.21432,1285000,1.344,501187.2336,1.858
1e-05,7612.02139,68.32,29991.62519,3021000,1.513,206538.0156,1.807
1e-05,19860.94917,79.74,10092.52886,1283000,1.3,331131.1215,1.878
5e-05,4534.192978,64.43,10292.00527,6681000,1.152,51820.3092,1.588
2.2e-05,104712.8548,66.41,26730.06409,5482000,1.442,595662.1435,3.673
1e-05,6493.816316,68.9,35277.67866,2853000,1.479,407380.2778,1.683
2.2e-05,58613.81645,66.56,39400.34276,3396000,1.44,506990.7083,1.518
1e-05,101157.9454,84.49,15631.47643,1365000,1.315,645654.229,2.013
1e-05,2034.698196,66.81,35850.89483,2729000,1.493,501187.2336,1.684
2.2e-05,62373.48355,71.18,24632.01838,4291000,1.387,822242.6499,3.93
2.2e-05,13474.10725,66.36,19588.44674,3587000,1.414,530884.4442,1.602
1e-05,2663.790097,72.39,9130.614353,3298000,1.38,562341.3252,1.774
1e-05,5432.503315,79.7,9204.495718,1309000,1.335,12445146.12,1.928
1e-05,851138.0382,78.65,9193.904748,3479000,1.356,676082.9754,1.9
1e-05,13412.19935,74.35,35850.89483,1219000,1.372,248313.3105,0.404
2.2e-05,38592.24116,66.68,26977.39432,5156000,1.445,944060.8763,3.976
1e-05,27478.94153,68.52,31915.37855,3101000,1.518,851138.0382,1.946
5e-05,8790.225168,55.87,51345.21775,8097000,1.222,451855.9444,1.079
1e-05,17218.68575,76.53,10764.65214,2594000,1.275,707945.7844,1.758
1e-05,1477.406482,70.51,32546.17835,1115000,1.357,110917.4815,0.3868
2.2e-05,2306.747189,65.07,7998.34255,5948000,1.415,616595.0019,3.979
1e-05,50118.72336,68.19,41447.6584,3042000,1.52,901571.1376,1.861
1e-05,18771.54418,72.71,26822.54608,2458000,1.461,7161434.102,1.922
1e-05,4576.147349,82.66,5158.221651,1318000,1.208,1972422.736,1.804
2.2e-05,9874.156357,69.99,24154.60834,6571000,1.343,2917427.014,3.863
1e-05,13505.16828,73.28,25822.60191,3449000,1.421,1071519.305,1.842
1e-05,31081.35903,70.29,27133.13652,2310000,1.457,473151.259,1.956
5e-05,20749.13517,58.98,41114.97211,9023000,1.177,451855.9444,1.35
1e-05,4461.696246,71.27,21330.44913,3220000,1.457,555904.2573,1.844
5e-05,8709.6359,54.69,17139.57308,9459000,1.222,512861.384,1.389
1e-05,5956.621435,78.53,10303.8612,2667000,1.313,1531087.462,1.851
1e-05,33689.92157,72.07,29716.66032,2404000,1.458,851138.0382,1.757
5e-05,7481.695005,57.98,15118.19699,8938000,1.204,146217.7174,1.531
2.2e-05,2108.62815,70.63,6302.31346,4320000,1.367,2264644.308,4.077
1e-05,23388.37239,73.71,17721.48045,3121000,1.384,160324.5391,1.744
1e-05,28248.79975,62.49,55590.42573,2752000,1.437,623734.8355,0.3388
1e-05,2404.3628,76.1,6516.283941,2589000,1.278,489778.8194,1.786
1e-05,2851.018268,67.35,46773.51413,2016000,1.41,113501.0816,0.4479
5e-05,201836.6364,65.44,23878.11283,8971000,1.403,870963.59,7.273
1e-05,2349.632821,76.37,6404.717816,2565000,1.277,79891.39417,1.737
5e-05,18814.81706,65.82,25703.95783,7244000,1.307,501187.2336,1.324
1e-05,570.1642723,78.05,2636.331386,2704000,1.275,549540.8739,1.924
1e-05,4549.880602,72.74,8365.655958,3311000,1.362,1396368.361,1.815
2.2e-05,5302.735926,66.69,26946.35332,5120000,1.44,794328.2347,3.91
1e-05,2474.571461,73.19,8560.517117,3162000,1.367,402717.0343,1.805
1e-05,697.4289969,78.19,1690.440932,2642000,1.274,346736.8505,1.831
2.2e-05,17100.15315,66.21,22054.64136,5554000,1.426,1216186.001,3.65
5e-05,28411.88185,64.75,41114.97211,5234000,1.296,216271.8524,1.309
2.2e-05,2624.218543,66.86,35686.17493,3260000,1.413,177827.941,1.467
5e-05,98401.11058,67.2,40550.85354,7135000,1.28,602559.5861,1.484
2.2e-05,7915.894546,66.89,35318.31698,3398000,1.422,188364.9089,1.514
2.2e-05,4560.36916,70.98,15293.25746,4360000,1.361,822242.6499,4.034
1e-05,2346.929263,82.62,2770.129039,1315000,1.208,301995.172,1.833
1e-05,33113.11215,81.64,1638.702061,2618000,1.138,102329.2992,1.74
1e-05,2624.218543,62.55,50815.94426,2699000,1.436,384591.782,0.3346
1e-05,2744.732343,64.33,51050.5,2573000,1.441,389045.145,0.3495
1e-05,13167.39913,79.05,6116.45803,2586000,1.261,181970.0859,1.704
1e-05,28444.61107,75.36,29682.46743,3321000,1.432,944060.8763,1.917
1e-05,26121.61354,76.29,15577.58035,2542000,1.327,812830.5162,1.762
2.2e-05,10641.43018,66.0,46344.69197,4304000,1.467,518800.0389,1.391
2.2e-05,2065.380156,70.59,6208.690342,4315000,1.374,484172.3676,3.998
1e-05,2738.419634,64.4,44616.96246,2579000,1.436,354813.3892,0.36
5e-05,57543.99373,56.3,30902.95433,9417000,1.198,530884.4442,1.374
2.2e-05,169824.3652,67.84,28807.1305,5538000,1.429,555904.2573,3.946
1e-05,54013.21148,69.39,28444.61107,3043000,1.464,524807.4602,1.701
1e-05,3994.845613,73.6,7726.805851,3177000,1.351,1202264.435,1.833
1e-05,10000.0,63.09,41783.03666,2752000,1.413,295120.9227,0.3832
1e-05,6614.545375,76.16,7961.593504,3306000,1.327,1621810.097,1.824
1e-05,1737.800829,73.26,5787.619883,3214000,1.333,623734.8355,1.842
1e-05,903.6494737,75.24,2175.204034,3218000,1.325,389045.145,1.804
2.2e-05,67452.80277,71.8,19297.45336,4397000,1.346,582103.2178,3.885
5e-05,164058.9773,56.78,23631.97399,8749000,1.201,1011579.454,1.398
1e-05,42364.2966,73.69,34001.65058,3221000,1.418,467735.1413,1.79
5e-05,22516.45417,57.58,41162.33473,8983000,1.224,549540.8739,1.186
5e-05,65012.96903,59.11,29478.13477,8865000,1.183,555904.2573,1.407
1e-05,2368.645132,80.99,1062.918583,2639000,1.149,473151.259,1.78
2.2e-05,4004.054683,66.92,19453.60082,3420000,1.434,1778279.41,1.583
1e-05,199526.2315,71.3,28707.80582,3249000,1.463,1318256.739,1.853
1e-05,48194.77976,69.1,37800.71373,2931000,1.503,543250.3315,1.827
1e-05,41591.06105,69.42,31878.65576,2932000,1.502,645654.229,1.92
5e-05,24518.84454,57.52,41114.97211,8979000,1.241,555904.2573,1.202
1e-05,8423.643914,73.83,7559.620603,3127000,1.327,6998419.96,1.734
1e-05,3639.150361,76.07,6561.452663,3355000,1.311,436515.8322,1.838
1e-05,26061.5355,60.84,51939.76735,2837000,1.445,389045.145,0.353
1e-05,66374.30704,81.75,4819.477976,2644000,1.138,327340.6949,1.722
1e-05,28086.65373,81.54,14740.08541,1285000,1.324,305492.1113,1.797
2.2e-05,9931.160484,69.58,12927.06701,4031000,1.36,668343.9176,3.654
2.2e-05,28054.33638,67.94,16576.77337,5552000,1.412,1135010.816,3.727
2.2e-05,131825.6739,68.14,29682.46743,5648000,1.418,860993.7522,4.075
1e-05,16962.89602,76.27,13614.44682,2590000,1.331,922571.4272,1.822
1e-05,47533.52259,69.19,37670.3799,2922000,1.503,891250.9381,1.77
1e-05,9183.325965,84.2,7244.359601,1303000,1.263,127350.3081,1.769
5e-05,20677.59382,65.18,30478.9499,6826000,1.2,186208.7137,1.381
1e-05,2924.152378,62.1,52239.6189,2645000,1.454,467735.1413,0.3276
5e-05,22568.35995,64.11,31988.9511,6714000,1.159,186208.7137,1.569
1e-05,719.448978,78.01,2694.635332,2658000,1.249,1258925.412,1.78
1e-05,15452.5444,72.97,16672.47213,2470000,1.405,446683.5922,1.958
1e-05,40504.19451,77.03,14028.13705,3559000,1.384,2317394.65,1.898
5e-05,2612.161354,63.35,15205.4753,7260000,1.257,50292.12659,1.521
5e-05,11233.1097,67.76,30654.90679,7388000,1.304,231739.465,1.378
5e-05,22003.9171,63.11,32136.60539,6428000,1.177,181970.0859,1.556
5e-05,14842.2588,63.73,14437.76604,9613000,1.43,2162718.524,7.358
2.2e-05,110917.4815,68.13,24518.84454,5568000,1.41,645654.229,3.807
1e-05,48083.93484,74.63,33189.44576,3563000,1.445,1778279.41,1.986
2.2e-05,518800.0389,65.41,47097.73264,4538000,1.483,512861.384,1.282
5e-05,92363.41884,63.07,39129.11271,7864000,1.314,436515.8322,1.173
2.2e-05,342767.7865,67.93,29888.21647,5540000,1.426,595662.1435,3.799
5e-05,10174.19366,54.69,51404.36516,8713000,1.238,301995.172,1.04
2.2e-05,3411.929116,65.44,9151.662593,5866000,1.436,1819700.859,3.954
1e-05,986.2794856,74.47,3104.559588,3431000,1.294,334965.4392,1.737
1e-05,7144.963261,75.02,11091.74815,3457000,1.361,6309573.445,1.803
1e-05,2971.666032,66.74,39764.90965,2674000,1.517,749894.2093,1.686
2.2e-05,4903.430228,71.26,12416.52308,4374000,1.337,4677351.413,3.781
1e-05,39673.45289,76.69,11776.05974,3551000,1.383,595662.1435,1.89
1e-05,3269.640468,81.76,6894.455932,1310000,1.315,4623810.214,1.927
1e-05,32284.94122,76.06,28906.79882,3472000,1.384,3467368.505,1.731
5e-05,14190.57522,63.5,18879.91349,10560000,1.365,4315190.768,7.46
1e-05,2934.269504,67.93,28411.88185,2622000,1.495,2540972.706,1.846
